Leather Headgear : 1 暖かい毛皮, 1 鉄鉱石
Leather Vest : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Gloves : 2 暖かい毛皮
Leather Belt : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Pants : 2 暖かい毛皮
Piscine Mask : 2 ケルビの角, 2 イキツギ藻, 2 なぞの骨
Piscine Belt : 2 水生獣の皮, 2 欠けた貝殻
Piscine Leggings : 2 水生獣の皮, 1 大きなヒレ
Chainmail Headgear : 1 大地の結晶, 1 鉄鉱石
Chainmail Vest : 2 鉄鉱石, 1 暖かい毛皮
Chainmail Gloves : 1 鉄鉱石, 2 砥石
Chainmail Belt : 1 鉄鉱石, 2 暖かい毛皮
Chainmail Pants : 2 鉄鉱石, 2 暖かい毛皮
Loc Lac Shawl : 1 甲虫の腹袋, 3 モンスターの体液, 3 氷結晶
Loc Lac Kilt : 2 甲虫の腹袋, 2 甲虫の大顎, 3 氷結晶
Loc Lac Boots : 3 甲虫の大顎, 2 甲虫の腹袋, 3 氷結晶
Hunter's Helm : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Mail : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Vambraces : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Faulds : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Greaves : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Hunter's Cap : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Vest : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Guards : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Coat : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Leggings : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Yukumo Kasa : ※港店売り
Yukumo Dogi : ※港店売り
Yukumo Kote : ※港店売り
Yukumo Obi : ※港店売り
Yukumo Hakama : ※港店売り
Alloy Helm : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Mail : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Vambraces : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coil : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Greaves : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Alloy Cap : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Vest : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Guards : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coat : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Leggings : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Bone Helm : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Mail : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Vambraces : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Faulds : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Greaves : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Bone Cap : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Vest : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Guards : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Coat : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Leggings : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Moonlight Garment : 4 月迅竜の厚鱗, 4 月迅竜の透刃翼, 3 月迅竜の豪斑毛, 2 迅竜の天鱗
Moonlight Gauntlets : 6 月迅竜の豪斑毛, 4 月迅竜の重尾棘, 4 月迅竜の透刃翼, 4 ピュアクリスタル
Moonlight Obi : 3 月迅竜の厚鱗, 3 月迅竜の重牙, 2 迅竜の靭尾, 1 ドボルストーン
Moonlight Gosuku : 2 月迅竜の厚鱗, 4 月迅竜の重尾棘, 1 朧月の欠片, 5 マボロシチョウ
White Shadow Crown : 3 月迅竜の重牙, 3 月迅竜の豪斑毛, 1 朧月の欠片, 2 霊水晶
White Shadow Garment : 4 月迅竜の厚鱗, 4 月迅竜の透刃翼, 3 月迅竜の豪斑毛, 2 迅竜の天鱗
White Shadow Guantlets : 6 月迅竜の豪斑毛, 4 月迅竜の重尾棘, 4 月迅竜の透刃翼, 4 ピュアクリスタル
White Shadow Obi : 3 月迅竜の厚鱗, 3 月迅竜の重牙, 2 迅竜の靭尾, 1 ドボルストーン
White Shadow Gosuku : 2 月迅竜の厚鱗, 4 月迅竜の重尾棘, 1 朧月の欠片, 5 マボロシチョウ
Silver Sol Helm : 5 銀火竜の厚鱗, 1 火竜の天鱗, 3 火竜の煌液, 1 ピュアクリスタル
Silver Sol Mail : 5 銀火竜の重殻, 6 銀火竜の厚鱗, 3 火竜の剛翼, 3 重竜骨
Silver Sol Vambraces : 1 銀火竜の靭尾, 2 火竜の延髄, 4 火竜の剛翼爪, 3 真紅蓮石
Silver Sol Faulds : 5 銀火竜の重殻, 3 火竜の剛翼, 2 火竜の紅玉, 3 業炎袋
Silver Sol Greaves : 5 銀火竜の重殻, 5 銀火竜の厚鱗, 4 火竜の煌液, 1 ピュアクリスタル
Silver Sol Cap : 5 銀火竜の厚鱗, 1 火竜の天鱗, 3 火竜の煌液, 1 ピュアクリスタル
Silver Sol Vest : 5 銀火竜の重殻, 6 銀火竜の厚鱗, 3 火竜の剛翼, 3 重竜骨
Silver Sol Guards : 1 銀火竜の靭尾, 2 火竜の延髄, 4 火竜の剛翼爪, 3 真紅蓮石
Silver Sol Coat : 5 銀火竜の重殻, 3 火竜の剛翼, 2 火竜の紅玉, 3 業炎袋
Silver Sol Leggings : 5 銀火竜の重殻, 5 銀火竜の厚鱗, 4 火竜の煌液, 1 ピュアクリスタル
Gold Luna Helm : 3 金火竜の秘棘, 5 金火竜の重殻, 3 火竜の煌液, 3 業炎袋
Gold Luna Mail : 5 金火竜の厚鱗, 5 火竜の延髄, 2 雌火竜の紅玉, 4 メランジェ鉱石
Gold Luna Vambraces : 5 金火竜の重殻, 4 火竜の剛翼爪, 1 雌火竜の天鱗, 4 獄炎石
Gold Luna Faulds : 5 金火竜の厚鱗, 1 雌火竜の天鱗, 3 火竜の煌液, 3 真紅蓮石
Gold Luna Greaves : 5 金火竜の重殻, 4 金火竜の厚鱗, 5 重竜骨, 2 大竜玉
Gold Luna Cap : 3 金火竜の秘棘, 5 金火竜の重殻, 3 火竜の煌液, 3 業炎袋
Gold Luna Vest : 5 金火竜の厚鱗, 5 火竜の延髄, 2 雌火竜の紅玉, 4 メランジェ鉱石
Gold Luna Guards : 5 金火竜の重殻, 4 火竜の剛翼爪, 1 雌火竜の天鱗, 4 獄炎石
Gold Luna Coat : 5 金火竜の厚鱗, 1 雌火竜の天鱗, 3 火竜の煌液, 3 真紅蓮石
Gold Luna Leggings : 5 金火竜の重殻, 4 金火竜の厚鱗, 5 重竜骨, 2 大竜玉
Yamato Kabuto+/Hinata Hachigane+ : 4 霊山龍の重岩殻, 4 皇海龍の豪鎧毛, 2 霊水晶, 1 恐暴竜の剛鉤爪
Yamato Muneate+/Hinata Muneate+ : 2 神々しい龍牙, 6 皇海龍の厚鱗, 1 大地の龍神玉, 4 巨大なヒレ
Yamato Kote+/Hinata Kote+ : 4 霊山龍の重腕甲, 3 神々しい龍牙, 5 獄狼竜の重殻, 5 メランジェ鉱石
Yamato Koshiate+/Hinata Koshiate+ : 4 霊山龍の重岩殻, 5 皇海龍の重甲皮, 4 古龍の血, 1 極悪な牙
Yamato Gusoku+/Hinata Hakama+ : 5 霊山龍の重蒼鱗, 2 霊水晶, 4 獄狼竜の剛爪, 2 ピュアクリスタル
Mutsu Eboshi+/Amagi Hachigane+ : 4 霊山龍の重岩殻, 4 皇海龍の豪鎧毛, 2 霊水晶, 1 恐暴竜の剛鉤爪
Mutsu Muneate+/Amagi Muneate+ : 2 神々しい龍牙, 6 皇海龍の厚鱗, 1 大地の龍神玉, 4 巨大なヒレ
Mutsu Kote+/Amagi Kote+ : 4 霊山龍の重腕甲, 3 神々しい龍牙, 5 獄狼竜の重殻, 5 メランジェ鉱石
Mutsu Koshiate+/Amagi Koshiate+ : 4 霊山龍の重岩殻, 5 皇海龍の重甲皮, 4 古龍の血, 1 極悪な牙
Mutsu Gosuku+/Amagi Hakama+ : 5 霊山龍の重蒼鱗, 2 霊水晶, 4 獄狼竜の剛爪, 2 ピュアクリスタル
Abyss Helm : 2 冥海竜の剛角, 4 冥海竜の厚鱗, 1 冥海竜の雷魂, 1 海竜の蒼天鱗
Abyss Mail : 4 冥海竜の厚皮, 3 冥海竜の剛角, 2 海竜の剛尾, 1 大地の龍神玉
Abyss Vambraces : 5 冥海竜の厚鱗, 3 海竜の剛爪, 1 冥海竜の雷魂, 1 雷狼竜の天玉
Abyss Faulds : 4 冥海竜の厚皮, 4 冥海竜の雷電殻, 2 海竜の剛尾, 1 深淵の皇龍玉
Abyss Greaves : 5 冥海竜の厚鱗, 2 冥海竜の雷電殻, 1 霊水晶, 1 朧月の欠片
Abyss Cap : 2 冥海竜の剛角, 4 冥海竜の厚鱗, 1 冥海竜の雷魂, 1 海竜の蒼天鱗
Abyss Vest : 4 冥海竜の厚皮, 3 冥海竜の剛角, 2 海竜の剛尾, 1 大地の龍神玉
Abyss Guards : 5 冥海竜の厚鱗, 3 海竜の剛爪, 1 冥海竜の雷魂, 1 雷狼竜の天玉
Abyss Coat : 4 冥海竜の厚皮, 4 冥海竜の雷電殻, 2 海竜の剛尾, 1 深淵の皇龍玉
Abyss Leggings : 5 冥海竜の厚鱗, 2 冥海竜の雷電殻, 1 霊水晶, 1 朧月の欠片
Miraruma Head : 4 煉黒龍の燃殻, 2 煉黒龍の凶眼, 4 ほとばしるマグマ, 1 大地を穿つ剛角
Miraruma Hide : 5 煉黒龍の黒鱗, 3 不死の心臓, 2 煉黒龍の重翼, 1 砕竜の天殻
Miraruma Claws : 4 煉黒龍の燃殻, 4 煉黒龍の灼熱核, 1 光炎の大龍玉, 10 蒼火竜の重殻
Miraruma Spine : 5 煉黒龍の黒鱗, 4 煉黒龍の燃殻, 2 煉黒龍の炎爪, 5 大竜玉
Miraruma Feet : 4 煉黒龍の燃殻, 3 煉黒龍の炎爪, 1 光炎の大龍玉, 10 桜火竜の重殻
Miraruma Face : 4 煉黒龍の燃殻, 2 煉黒龍の凶眼, 4 ほとばしるマグマ, 1 大地を穿つ剛角
Miraruma Skin : 5 煉黒龍の黒鱗, 3 不死の心臓, 2 煉黒龍の重翼, 1 砕竜の天殻
Miraruma Fists : 4 煉黒龍の燃殻, 4 煉黒龍の灼熱核, 1 光炎の大龍玉, 10 蒼火竜の重殻
Miraruma Scale : 5 煉黒龍の黒鱗, 4 煉黒龍の燃殻, 2 煉黒龍の炎爪, 5 大竜玉
Miraruma Legs : 4 煉黒龍の燃殻, 3 煉黒龍の炎爪, 1 光炎の大龍玉, 10 桜火竜の重殻
Crow Lily Jacket : 1 武装への招待状, 4 土砂竜の堅殻, 4 白海竜の厚皮, 4 迅竜の上黒毛
Crow Lily Belt : 1 武装への招待状, 2 土砂竜の尻尾, 2 海竜の尻尾, 2 迅竜の尻尾
Crow Lily Jeans : 1 武装への招待状, 5 土砂竜の鋭爪, 5 白海竜の上鱗, 6 迅竜の上鱗
Crow Lily Jumper : 1 武装への招待状, 4 土砂竜の堅殻, 4 白海竜の厚皮, 4 迅竜の上黒毛
Crow Lily Buckle : 1 武装への招待状, 2 土砂竜の尻尾, 2 海竜の尻尾, 2 迅竜の尻尾
Crow Lily Denim : 1 武装への招待状, 5 土砂竜の鋭爪, 5 白海竜の上鱗, 6 迅竜の上鱗
Chakra Earring : 3 エルトライト鉱石, 2 ピュアクリスタル
Chakra Necklace : 3 エルトライト鉱石, 2 ピュアクリスタル
Chakra Bracelet : 3 エルトライト鉱石, 2 ピュアクリスタル
Chakra Waistlet : 3 エルトライト鉱石, 2 ピュアクリスタル
Chakra Anklet : 3 エルトライト鉱石, 2 ピュアクリスタル
Jaggi Mask : 1 狗竜の頭, 3 狗竜の皮, 1 王者のエリマキ, 2 紅蓮石
Gagua Mask : 7 丸鳥の羽, 5 カブレライト鉱石
Bullfango Mask : 6 上質な毛皮, 1 ファンゴの頭, 1 ファンゴの毛皮, 2 竜骨【大】
Skull Mask : 5 太古の龍骨, 3 真紅蓮石, 10 なぞの骨, 1 覇王の証
Skull Head : 5 太古の龍骨, 3 真紅蓮石, 10 なぞの骨, 1 覇王の証
Shadow Shades : 4 モンハン部入部届, 3 恐暴竜の黒鱗, 1 上質な黒巻き角, 1 勇気の証
HellHunter Jacket : 2 武装への招待状, 5 土砂竜の鋭爪, 6 上質な毛皮, 1 勇気の証
HellHunter Leather : 2 武装への招待状, 5 土砂竜の鋭爪, 6 上質な毛皮, 1 勇気の証
SoulHunter Jacket : 2 モンハン部入部届, 5 水獣の鋭爪, 5 海竜の上皮, 3 高級提灯球
SoulHunter Leather : 2 モンハン部入部届, 5 水獣の鋭爪, 5 海竜の上皮, 3 高級提灯球
MH Division Jacket : 2 モンハン部入部届, 3 高級なトサカ, 5 海竜の高電殻, 5 灯魚竜の上棘
MH Division Jersey : 2 モンハン部入部届, 3 高級なトサカ, 5 海竜の高電殻, 5 灯魚竜の上棘
Black Leather Legs : 2 モンハン部入部届, 4 海竜の上皮, 5 海綿質の上皮, 5 灯魚竜の上皮
Black Leather Pants : 2 モンハン部入部届, 4 海竜の上皮, 5 海綿質の上皮, 5 灯魚竜の上皮
Keroro Mask : 4 ケロン軍人の魂, 1 水竜の絶品お頭, 5 翠水竜の特上ビレ, 5 水竜の重牙
